latitude,longitude,place_name,place_lat,place_lng
-36.912708,174.747139,Three Kings Liquor,-36.9139389,174.7543623
-36.912708,174.747139,Melrose Liquor,-36.916239999999995,174.75162129999998
-36.921035,174.715436,Super Liquor Mt Roskill,-36.9151039,174.7225852
-36.921035,174.715436,Donovan Liquor,-36.9221576,174.7132552
-37.011253,174.882302,Blackbull Manurewa,-37.009706699999995,174.8903685
-36.73448,174.744644,Super Liquor Mairangi Bay,-36.739314199999995,174.7536557
-36.73448,174.744644,The Bottle O Windsor Park,-36.738766399999996,174.74120639999998
-36.73448,174.744644,Thirsty Liquor Rothesay Bay,-36.7263861,174.74755829999998
-36.715788,174.725735,"Liquorland Northcross, Browns Bay",-36.7096464,174.72860359999999
-36.715788,174.725735,Oteha Valley Liquor Centre,-36.71235,174.722974
-36.93095,174.669395,Liquorland Green Bay,-36.930602199999996,174.6798478
